语言学术语	yuyanxueshuyu
动源名词	dongyuanmingci
动源形容词	dongyuanxingrongci
动源性习语	dongyuanxingxiyu
动转词	dongzhuanci
动转名词	dongzhuanmingci
动作动词	dongzuodongci
动作类别	dongzuoleibie
〔德	〕	de
动作链	dongzuolian
动作名词	dongzuomingci
动作者	dongzuozhe
动作者—动作模型	dongzuozhedongzuomoxing
动作者—动作—目标	dongzuozhedongzuomubiao
冻结隐喻	dongjieyinyu
逗号	douhao
独白	dubai
独词句	duciju
独词句话语	ducijuhuayu
独词句现象	ducijuxianxiang
独词句语言	ducijuyuyan
独立变量	dulibianliang
独立成分	dulichengfen
独立动词	dulidongci
独立短语	duliduanyu
独立夺格结构	duliduogejiegou
独立分句	dulifenju
独立结构	dulijiegou
独立区域	duliquyu
独立属格	dulishuge
独立物主代词	duliwuzhudaici
独立形容词	dulixingrongci
独立型所有格代词	dulixingsuoyougedaici
独立学习	dulixuexi
独立音变	duliyinbian
独立指示词	dulizhishici
独立主格	dulizhuge
独特特征	dutetezheng
独值特征	duzhitezheng
读唇法	duchunfa
读取	duqu
读入	duru
读书报告	dushubaogao
堵塞	duse
杜鹃论	dujuanlun
短路假说	duanlujiashuo
短时记忆	duanshijiyi
短时体	duanshiti
短停顿	duantingdun
短语	duanyu
短语变体	duanyubianti
短语标记	duanyubiaoji
短语动词	duanyudongci
短语结构	duanyujiegou
短语结构成分	duanyujiegouchengfen
短语结构规则	duanyujiegouguize
短语结构规则的递归性	duanyujiegouguizedediguixing
短语结构语法	duanyujiegouyufa
短语介词动词	duanyujiecidongci
短语境测试法	duanyujingceshifa
短语所有格	duanyusuoyouge
短语性复合词	duanyuxingfuheci
短语语类	duanyuyulei
短语重音	duanyuzhongyin
短元音符	duanyuanyinfu
段落	duanluo
断定代词	duandingdaici
断句	duanju
断连	duanlian
断续闭合	duanxubihe
断续形态学	duanxuxingtaixue
断言	duanyan
对半信度	duibanxindu
对比分析	duibifenxi
对比焦点	duibijiaodian
对比联想	duibilianxiang
对比替换测试法	duibitihuanceshifa
对比替换法	duibitihuanfa
对比修辞学	duibixiucixue
对比语调	duibiyudiao
对比重音	duibizhongyin
对唱诗	duichangshi
对称结构句	duichenjiegouju
对等词	duidengci
，
对弧语法	duihuyufa
对话	duihua
对话二人组	duihuaerrenzu
对话日志	duihuarizhi
对话者	duihuazhe
对句	duiju
对立	duili
对立	duili
对立词义	duiliciyi
对立反义词	duilifanyici
对立假设	duilijiashe
对偶	duiou
对象格主语	duixianggezhuyu
对象语言	duixiangyuyan
对象语言	duixiangyuyan
对应	duiying
对应词	duiyingci
对应结构	duiyingjiegou
对应系统	duiyingxitong
对应音	duiyingyin
对照组	duizhaozu
钝音符	dunyinfu
钝音与锐音	dunyinyuruiyin
顿呼	dunhu
顿绝	dunjue
多边对立	duobianduili
多层级学习	duocengjixuexi
多成分组合语	duochengfenzuheyu
多重聚合词	duochongjuheci
多次体	duociti
多次性动词	duocixingdongci
多方会话	duofanghuihua
多方言的	duofangyande
多分支结构	duofenzhijiegou
多话期	duohuaqi
多连接结构	duolianjiejiegou
多模态	duomotai
多模态交互	duomotaijiaohu
多式综合	duoshizonghe
多式综合语	duoshizongheyu
多系统主义	duoxitongzhuyi
多样性	duoyangxing
多义词	duoyici
多义现象	duoyixianxiang
多音节词	duoyinjieci
多音位分类	duoyinweifenlei
多语素词	duoyusuci
多语现象	duoyuxianxiang
多语主义	duoyuzhuyi
多元文化主义	duoyuanwenhuazhuyi
多源说理论	duoyuanshuolilun
夺格	duoge
惰误	duowu
讹误语	ewuyu
讹写法	exiefa
俄罗斯形式主义	eluosixingshizhuyi
轭式修饰法	eshixiushifa
恶俗语	esuyu
腭	e
腭化	ehua
腭化音	ehuayin
腭位观察术	eweiguanchashu
腭位图	eweitu
腭位学	eweixue
腭龈音	ekenyin
儿童语言	ertongyuyan
儿童语言习得期	ertongyuyanxideqi
耳听训练	ertingxunlian
耳语	eryu
耳语元音	eryuyuanyin
二重介词	erchongjieci
二分对立	erfenduili
二分法计分	erfenfajifen
二分特征	erfentezheng
二合字母	erhezimu
二价动词	erjiadongci
二听法	ertingfa
二项分类	erxiangfenlei
二项式	erxiangshi
二选一原则	erxuanyiyuanze
二语自然习得	eryuziranxide
二元的	eryuande
二元论	eryuanlun
二元特征	eryuantezheng
二元性	eryuanxing
发话人	fahuaren
发起者	faqizhe
发散思维	fasansiwei
发生认识论	fashengrenshilun
发声	fasheng
发声器官	fashengqiguan
发声器官操练	fashengqiguancaolian
发声生理学	fashengshenglixue
发声失常	fashengshichang
发现程序	faxianchengxu
发现过程	faxianguocheng
发现学习法	faxianxuexifa
发音	fayin
发音	fayin
发音器	fayinqi
发音器官	fayinqiguan
发音部位	fayinbuwei
发音参数	fayincanshu
发音点	fayindian
发音定式	fayindingshi
发音动作	fayindongzuo
发音动作基础	fayindongzuojichu
发音方式	fayinfangshi
发音行为	fayinxingwei
发音机能失调	fayinjinengshitiao
发音识别接口	fayinshibiejiekou
发音速度	fayinsudu
发音音系学	fayinyinxixue
发音语音学	fayinyuyinxue
发音自然性	fayinziranxing
发展测试	fazhanceshi
发展阶段相互依存假说	fazhanjieduanxianghuyicunjiashuo
发展心理学	fazhanxinlixue
发展性失语	fazhanxingshiyu
发展性双语教育	fazhanxingshuangyujiaoyu
发展性特征	fazhanxingtezheng
发展性言语失调	fazhanxingyanyushitiao
发展性语误	fazhanxingyuwu
发展性语言失用症	fazhanxingyuyanshiyongzheng
发展序列	fazhanxulie
发展语言学	fazhanyuyanxue
法兰西学派	falanxixuepai
法律语言学	falvyuyanxue
法式英语	fashiyingyu
法庭演说	fatingyanshuo
法位意义	faweiyiyi
法英词	fayingci
法子	fazi
翻译	fanyi
翻译目的论	fanyimudilun
翻译器	fanyiqi
翻译中的干扰	fanyizhongdeganrao
反拨效应	fanboxiaoying
反拨作用	fanbozuoyong
反常语调	fanchangyudiao
反讽	fanfeng
反复	fanfu
反复	fanfu
反复体	fanfuti
反馈	fankui
反馈项	fankuixiang
反启发式	fanqifashi
反嵌入	fanqianru
反身代词	fanshendaici
反身动词	fanshendongci
反身化	fanshenhua
反身性	fanshenxing
反事实动词	fanshishidongci
反事实条件句	fanshishitiaojianju
反输	fanshu
反思性教学	fansixingjiaoxue
反问句	fanwenju
反向性	fanxiangxing
反向性	fanxiangxing
反向性反义词	fanxiangxingfanyici
反向造句法	fanxiangzaojufa
反心灵主义	fanxinlingzhuyi
反省	fanxing
反叙实性动词	fanxushixingdongci
反义词	fanyici
反义词练习	fanyicilianxi
反义关系	fanyiguanxi
反义类推	fanyileitui
反义联想	fanyilianxiang
反义疑问句	fanyiyiwenju
反应	fanying
反应启发	fanyingqifa
反应前置词	fanyingqianzhici
反应时间	fanyingshijian
反映论	fanyinglun
反映形式	fanyingxingshi
反映义	fanyingyi
反语	fanyu
反语法结构	fanyufajiegou
反转	fanzhuan
返后核对翻译法	fanhouheduifanyifa
泛时	fanshi
泛指	fanzhi
范本理论	fanbenlilun
范畴表达式	fanchoubiaodashi
范畴成分	fanchouchengfen
范畴符号	fanchoufuhao
范畴合一语法	fanchouheyiyufa
范畴化	fanchouhua
范畴界限	fanchoujiexian
范畴累计	fanchouleiji
范畴语法	fanchouyufa
范式	fanshi
梵文字母	fanwenzimu
方差	fangcha
方差分析	fangchafenxi
方块大写	fangkuaidaxie
方括号	fangkuohao
方式副词	fangshifuci
方式原则	fangshiyuanze
方式指别	fangshizhibie
方位参数	fangweicanshu
方位格	fangweige
方位隐喻	fangweiyinyu
方向附加语	fangxiangfujiayu
方向性	fangxiangxing
方向性反义词	fangxiangxingfanyici
方向性假设	fangxiangxingjiashe
方言	fangyan
方言地理学	fangyandilixue
方言地图集	fangyandituji
方言多样化	fangyanduoyanghua
方言混合说	fangyanhunheshuo
方言计量学	fangyanjiliangxue
方言界线	fangyanjiexian
方言连续体	fangyanlianxuti
方言链	fangyanlian
方言调查	fangyandiaocha
方言调查字表	fangyandiaochazibiao
方言习语词典	fangyanxiyucidian
方言学	fangyanxue
方言整平	fangyanzhengping
仿拟	fangni
仿造词语	fangzaociyu
仿造构词法	fangzaogoucifa
仿真	fangzhen
访谈指引	fangtanzhiyin
放射范畴	fangshefanchou
飞白	feibai
非鼻音	feibiyin
非必要重复	feibiyaochongfu
非边音	feibianyin
非标准性	feibiaozhunxing
非表音文字	feibiaoyinwenzi
非宾格动词	feibingedongci
非宾格假说	feibingejiashuo
非参数检验	feicanshujianyan
非常用句型	feichangyongjuxing
非成形语言	feichengxingyuyan
非持续体	feichixuti
非纯语言	feichunyuyan
非词源化	feiciyuanhua
非刺耳音	feicieryin
非单调逻辑	feidandiaoluoji
非单一逻辑	feidanyiluoji
非导向性访谈	feidaoxiangxingfangtan
非等价	feidengjia
非地域的	feidiyude
非定指效应	feidingzhixiaoying
非短暂性	feiduanzanxing
非对比性变体	feiduibixingbianti
非腭化辅音	feiehuafuyin
非辅音的	feifuyinde
非高位音	feigaoweiyin
非功能变体	feigongnengbianti
非规约涵义	feiguiyuehanyi
非规则现象论	feiguizexianxianglun
非规则现象论者	feiguizexianxianglunzhe
非过去时态	feiguoqushitai
非核心规则	feihexinguize
非后位的	feihouweide
非互指	feihuzhi
非混合语化	feihunheyuhua
非技术性语域	feijishuxingyuyu
非接口论	feijiekoulun
非句子	feijuzi
非口腔化的	feikouqianghuade
非离散性	feilisanxing
非离散语法	feilisanyufa
非连续成分	feilianxuchengfen
非连续性	feilianxuxing
非链接动词形态学	feilianjiedongcixingtaixue
非流畅性	feiliuchangxing
非论元	feilunyuan
非论元位置	feilunyuanweizhi
非论元移位	feilunyuanyiwei
非论元语链	feilunyuanyulian
非论元约束	feilunyuanyueshu
非能产性	feinengchanxing
非能动言语器官	feinengdongyanyuqiguan
非派生词干	feipaishengcigan
非强制性	feiqiangzhixing
非情态助动词	feiqingtaizhudongci
非区别性特征	feiqubiexingtezheng
非屈折语言	feiqusheyuyan
非人称结构	feirenchengjiegou
非人称性	feirenchengxing
非舌冠音	feisheguanyin
非使役	feishiyi
非双音化	feishuangyinhua
非咝音	feisiyin
非特定先天论	feitedingxiantianlun
非体质特征	feitizhitezheng
非完全转换	feiwanquanzhuanhuan
非位	feiwei
非谓语形式	feiweiyuxingshi
非先创语言	feixianchuangyuyan
非现实情态	feixianshiqingtai
非限定动词	feixiandingdongci
非限定分句	feixiandingfenju
非限定性关系从句	feixiandingxingguanxicongju
非限定性修饰	feixiandingxingxiushi
非限制性结构	feixianzhixingjiegou
非线性形态学	feixianxingxingtaixue
非线性音系学	feixianxingyinxixue
非响音	feixiangyin
非叙实动词	feixushidongci
非延续体	feiyanxuti
非延续音	feiyanxuyin
非言语交际	feiyanyujiaoji
非一致性	feiyizhixing
非龈前音	feikenqianyin
非圆唇	feiyuanchun
非圆唇元音	feiyuanchunyuanyin
非真实初学者	feizhenshichuxuezhe
非正常元音	feizhengchangyuanyin
非正式评估	feizhengshipinggu
非正式英语	feizhengshiyingyu
非正式语	feizhengshiyu
非正式语体	feizhengshiyuti
非周期波	feizhouqibo
非洲裔美国人白话英语	feizhouyimeiguorenbaihuayingyu
非洲语言学	feizhouyuyanxue
非主动语态	feizhudongyutai
非自然意义	feiziranyiyi
非字母标音	feizimubiaoyin
非字母文字	feizimuwenzi
非字母音标	feizimuyinbiao
非作格动词	feizuogedongci
肺气流	feiqiliu
肺气流测量仪	feiqiliuceliangyi
肺气流的	feiqiliude
分班测试	fenbanceshi
分贝	fenbei
分辨性操作反应	fenbianxingcaozuofanying
分布	fenbu
分布分析	fenbufenxi
分布共性	fenbugongxing
分布数词	fenbushuci
分布主义	fenbuzhuyi
分词	fenci
分词独立结构	fencidulijiegou
分词短语	fenciduanyu
分词结构	fencijiegou
分隔间	fengejian
分隔中心	fengezhongxin
分化	fenhua
分化体现	fenhuatixian
分级	fenji
分级读本	fenjiduben
分级目标	fenjimubiao
分解评分法	fenjiepingfenfa
分解语义学	fenjieyuyixue
分句	fenju
分类	fenlei
分类法	fenleifa
分类谓词	fenleiweici
分类系统	fenleixitong
分类型语言	fenleixingyuyan
分类学	fenleixue
分类音位学	fenleiyinweixue
分类语言学	fenleiyuyanxue
分离	fenli
分离代词	fenlidaici
分离对立	fenliduili
分离集合	fenlijihe
分裂	fenlie
分裂假说	fenliejiashuo
分裂不定式	fenliebudingshi
分裂不及物现象	fenliebujiwuxianxiang
分裂句	fenlieju
分裂式话题	fenlieshihuati
分裂作格	fenliezuoge
分配词	fenpeici
分配数词	fenpeishuci
分配体	fenpeiti
分歧效度	fenqixiaodu
分数词	fenshuci
分位数	fenweishu
分析比较	fenxibijiao
分析程序	fenxichengxu
分析法	fenxifa
分析风格	fenxifengge
分析归纳	fenxiguina
分析句	fenxiju
分析命题	fenximingti
分析式	fenxishi
分析型教学大纲	fenxixingjiaoxuedagang
分析语	fenxiyu
分析哲学	fenxizhexue
分译法	fenyifa
分音符	fenyinfu
分音位	fenyinwei
分支暗喻	fenzhianyu
分支程序	fenzhichengxu
分支方向	fenzhifangxiang
分支节点	fenzhijiedian
分组	fenzu
分组表	fenzubiao
分组教学	fenzujiaoxue
芬兰—乌戈尔亚系语言学	fenlanwugeeryaxiyuyanxue
坟冢假说	fenzhongjiashuo
风格	fengge
风格层面	fenggecengmian
风格要素	fenggeyaosu
封闭反应项	fengbifanyingxiang
封闭路径	fengbilujing
封闭性词类	fengbixingcilei
蜂鸣式讨论	fengmingshitaolun
讽刺准则	fengcizhunze
讽喻	fengyu
否定	fouding
否定变位	foudingbianwei
否定词	foudingci
否定词缀	foudingcizhui
否定代词	foudingdaici
否定的礼貌策略	foudingdelimaocelve
否定后移	foudinghouyi
否定极项词	foudingjixiangci
否定检验法	foudingjianyanfa
否定连词	foudinglianci
否定前缀	foudingqianzhui
否定式	foudingshi
否定统一	foudingtongyi
否定推理规则	foudingtuiliguize
否定性反馈	foudingxingfankui
否定疑问句	foudingyiwenju
否定转移	foudingzhuanyi
弗雷格意义原则	fuleigeyiyiyuanze
弗雷格原则	fuleigeyuanze
弗纳定律	funadinglv
弗斯语言学	fusiyuyanxue
浮游声调	fuyoushengdiao
符号	fuhao
符号功能	fuhaogongneng
符号关系	fuhaoguanxi
符号三角关系	fuhaosanjiaoguanxi
符号体系	fuhaotixi
符号学	fuhaoxue
符号学史前史	fuhaoxueshiqianshi
符号学体系	fuhaoxuetixi
符合语法性	fuheyufaxing
符际翻译	fujifanyi
辅音	fuyin
辅音丛	fuyincong
辅音和谐	fuyinhexie
辅音逆变	fuyinnibian
辅音体系	fuyintixi
辅音同化	fuyintonghua
辅音文字	fuyinwenzi
辅音硬化	fuyinyinghua
辅助符号	fuzhufuhao
辅助式教学	fuzhushijiaoxue
辅助式教学模式	fuzhushijiaoxuemoshi
辅助语	fuzhuyu
辅助语言	fuzhuyuyan
腐蚀	fushi
父亲用语	fuqinyongyu
负极项	fujixiang
负面反馈	fumianfankui
负面礼貌策略	fumianlimaocelve
负面证据	fumianzhengju
负迁移	fuqianyi
负倾斜分布	fuqingxiefenbu
负相关	fuxiangguan
附带现象	fudaixianxiang
附带学习	fudaixuexi
附加陈述句	fujiachenshuju
附加从句	fujiacongju
附加分句	fujiafenju
附加符号	fujiafuhao
附加式副词	fujiashifuci
附加性双语现象	fujiaxingshuangyuxianxiang
附加姓名	fujiaxingming
附加疑问句	fujiayiwenju
附加意义	fujiayiyi
附加音	fujiayin
附加语	fujiayu
附属课程	fushukecheng
附着分词	fuzhuofenci
附着形容词	fuzhuoxingrongci
附着语	fuzhuoyu
附着语素	fuzhuoyusu
附着重叠	fuzhuochongdie
复本	fuben
复本信度	fubenxindu
复合波	fuhebo
复合词	fuheci
复合句	fuheju
复合声调	fuheshengdiao
复合双语现象	fuheshuangyuxianxiang
复合限定动词短语	fuhexiandingdongciduanyu
复合音	fuheyin
复合音节核	fuheyinjiehe
复合隐喻	fuheyinyu
复合元音	fuheyuanyin
复合元音化	fuheyuanyinhua
复合重音	fuhezhongyin
复活形式	fuhuoxingshi
复数	fushu
复述测验	fushuceyan
复数成分	fushuchengfen
复数名词	fushumingci
复位	fuwei
复现	fuxian
复现性	fuxianxing
复用	fuyong
复用	fuyong
复原	fuyuan
复杂孤岛	fuzagudao
复杂句	fuzaju
复杂声调	fuzashengdiao
复杂隐喻	fuzayinyu
复杂语码	fuzayuma
复指	fuzhi
复指代词	fuzhidaici
复制	fuzhi
副词	fuci
副词短语	fuciduanyu
副词化	fucihua
副词化形容词	fucihuaxingrongci
副词前置	fuciqianzhi
副词问句形式	fuciwenjuxingshi
副词小品词	fucixiaopinci
副词形式	fucixingshi
副词性表达式	fucixingbiaodashi
副词性成语	fucixingchengyu
副介词	fujieci
副语言	fuyuyan
副语言特征	fuyuyantezheng
副语言学	fuyuyanxue
赋格原则	fugeyuanze
赋值	fuzhi
赋值	fuzhi
傅立叶分析	fuliyefenxi
富萨克字母	fusakezimu
腹语	fuyu
嘎裂声	galiesheng
改述	gaishu
改写规则	gaixieguize
概化理论	gaihualilun
概括	gaikuo
概括语音	gaikuoyuyin
概率语法	gailvyufa
概念	gainian
概念功能	gainiangongneng
概念合成理论	gainianhechenglilun
概念化	gainianhua
概念结构	gainianjiegou
概念投射	gainiantoushe
概念系统	gainianxitong
概念—意向接口	gainianyixiangjiekou
概念意义	gainianyiyi
概念隐喻	gainianyinyu
概念隐喻理论	gainianyinyulilun
概念语法	gainianyufa
概念域	gainianyu
概念整合	gainianzhenghe
概念整合理论	gainianzhenghelilun
概念转喻	gainianzhuanyu
感情意义	ganqingyiyi
感染	ganran
感受	ganshou
感受者	ganshouzhe
感叹词	gantanci
感叹短语	gantanduanyu
感叹说	gantanshuo
感应影响	ganyingyingxiang
感知	ganzhi
感知方言学	ganzhifangyanxue
感知突显性	ganzhituxianxing
干扰	ganrao
干扰项	ganraoxiang
干扰项效率分析	ganraoxiangxiaolvfenxi
干预条件	ganyutiaojian
干预限制	ganyuxianzhi
高标准变体	gaobiaozhunbianti
高标准语言	gaobiaozhunyuyan
高的	gaode
高等语体	gaodengyuti
高地德语	gaodideyu
高地德语语音变化	gaodideyuyuyinbianhua
高地日耳曼诸语言	gaodiriermanzhuyuyan
〔德	〕	de
高化	gaohua
高级编程语言	gaojibianchengyuyan
高级变体	gaojibianti
高级推理行为	gaojituilixingwei
高降调	gaojiangdiao
高频词	gaopinci
高舌位	gaoshewei
高升	gaosheng
高势语	gaoshiyu
高雅词	gaoyaci
高元音	gaoyuanyin
告诫性命令	gaojiexingmingling
告示语	gaoshiyu
告知同意	gaozhitongyi
哥特体	geteti
歌唱论	gechanglun
格	ge
格环境	gehuanjing
格检验式	gejianyanshi
格鉴别式	gejianbieshi
格交替	gejiaoti
格框架	gekuangjia
格拉哥里文字	gelageliwenzi
格拉斯曼定律	gelasimandinglv
格里姆定律	gelimudinglv
格邻接原则	gelinjieyuanze
格林定律	gelindinglv
格罗沙语	geluoshayu
格律	gelv
格式塔	geshita
格式塔风格	geshitafengge
格式塔理论	geshitalilun
格式塔心理学	geshitaxinlixue
格言	geyan
格言句	geyanju
