语言学术语	yuyanxueshuyu
词项与配列语法	cixiangyupeilieyufa
词项重读	cixiangzhongdu
词形	cixing
词形变化	cixingbianhua
词形变化	cixingbianhua
词形变化	cixingbianhua
词形变化表	cixingbianhuabiao
词形变异	cixingbianyi
词形赋值形态学	cixingfuzhixingtaixue
词形体	cixingti
词形形态学	cixingxingtaixue
词性	cixing
词性赋码	cixingfuma
词序变化	cixubianhua
词序变位	cixubianwei
词序倒置	cixudaozhi
词哑	ciya
词义	ciyi
词义变化	ciyibianhua
词义淡化	ciyidanhua
词义恶化	ciyiehua
词义分化	ciyifenhua
词义扩大	ciyikuoda
词义扩展	ciyikuozhan
词义扩展	ciyikuozhan
词义弱化	ciyiruohua
词义升格	ciyishengge
词义缩小	ciyisuoxiao
词义退化	ciyituihua
词义学	ciyixue
词义转褒	ciyizhuanbao
词义转贬	ciyizhuanbian
词义转移	ciyizhuanyi
词优势效应	ciyoushixiaoying
词与物学派	ciyuwuxuepai
词语法	ciyufa
词语分割	ciyufenge
词语联想	ciyulianxiang
词语联想测试	ciyulianxiangceshi
词源理据	ciyuanliju
词源偏离	ciyuanpianli
词源形式	ciyuanxingshi
词源学	ciyuanxue
词中省音	cizhongshengyin
词重音	cizhongyin
词缀	cizhui
词缀法	cizhuifa
词缀略写	cizhuilvexie
词缀下移	cizhuixiayi
词缀指数	cizhuizhishu
词组屈折语	cizuqusheyu
词组所有格	cizusuoyouge
次标准	cibiaozhun
次范畴	cifanchou
次范畴化	cifanchouhua
次范畴化框架	cifanchouhuakuangjia
次间隙度	cijianxidu
次派生词	cipaishengci
次数数词	cishushuci
次谓语	ciweiyu
次要词类	ciyaocilei
次要发音	ciyaofayin
次重音	cizhongyin
次语类化框架	ciyuleihuakuangjia
刺耳音	cieryin
刺激	ciji
刺激充足论	cijichongzulun
刺激—反应理论	cijifanyinglilun
刺激泛化	cijifanhua
刺激贫乏论	cijipinfalun
从格	congge
从句	congju
从属变量	congshubianliang
从属词	congshuci
从属分句	congshufenju
从属连词	congshulianci
从属连接	congshulianjie
从属性	congshuxing
从属音系学	congshuyinxixue
从属语标注	congshuyubiaozhu
粗喉音	cuhouyin
粗俗词	cusuci
粗译文	cuyiwen
粗直语	cuzhiyu
存在句	cunzaiju
存在量词	cunzailiangci
存在量化	cunzailianghua
措辞	cuoci
措辞矛盾	cuocimaodun
错别字	cuobiezi
错读症	cuoduzheng
错格句	cuogeju
错格现象	cuogexianxiang
错误分析	cuowufenxi
错误选项	cuowuxuanxiang
错误选项效率分析	cuowuxuanxiangxiaolvfenxi
搭配	dapei
搭配范围	dapeifanwei
搭配能力	dapeinengli
搭配限制	dapeixianzhi
搭配重音	dapeizhongyin
达—达说	dadashuo
达尔定律	daerdinglv
达意论	dayilun
é
达因	dayin
答题效度	datixiaodu
答题形式	datixingshi
答题要求	datiyaoqiu
打油诗	dayoushi
大代语	dadaiyu
大纲设计	dagangsheji
大括弧	dakuohu
大脑侧化	danaocehua
大脑单侧偏利	danaodancepianli
大脑皮层	danaopiceng
大脑偏侧优势	danaopianceyoushi
大舌头	dashetou
大写	daxie
大写文化	daxiewenhua
大猩猩可可	daxingxingkeke
大众传播学	dazhongchuanboxue
代表样本	daibiaoyangben
代称比喻	daichengbiyu
代词	daici
代词逆指	daicinizhi
代词形式	daicixingshi
代词性形容词	daicixingxingrongci
代词重叠	daicichongdie
代达罗斯交互式课堂	daidaluosijiaohushiketang
代动词	daidongci
代类名	daileiming
代码	daima
代码转换	daimazhuanhuan
代码总和	daimazonghe
代名化	daiminghua
代纳语音合成器	dainayuyinhechengqi
代数语言学	daishuyuyanxue
代语成分	daiyuchengfen
带音	daiyin
带语用功能习语	daiyuyonggongnengxiyu
待选项	daixuanxiang
单边辅音	danbianfuyin
单边音	danbianyin
单纯存在句	danchuncunzaiju
单词句	danciju
单词识别	dancishibie
单杠	dangang
单杠连音	danganglianyin
单基转换	danjizhuanhuan
单数	danshu
单数形位	danshuxingwei
单位	danwei
单位词	danweici
单位名词	danweimingci
单向共现	danxianggongxian
单向性	danxiangxing
单一词化	danyicihua
单一转换	danyizhuanhuan
单义现象	danyixianxiang
单音节	danyinjie
单音位词	danyinweici
单音位分类	danyinweifenlei
单语素词	danyusuci
单语现象	danyuxianxiang
单语者	danyuzhe
单元音	danyuanyin
单源说	danyuanshuo
当地化	dangdihua
当时式	dangshishi
导出分数	daochufenshu
导词	daoci
导向词	daoxiangci
倒行干扰	daoxingganrao
倒摄抑制	daosheyizhi
倒数第二音节重读词	daoshudieryinjiezhongduci
倒数第二音节重读语	daoshudieryinjiezhongduyu
倒数第三音节	daoshudisanyinjie
倒退连锁法	daotuiliansuofa
倒置	daozhi
倒置对立	daozhiduili
倒置法	daozhifa
倒置法	daozhifa
倒置拼写	daozhipinxie
倒装	daozhuang
道义逻辑	daoyiluoji
道义情态	daoyiqingtai
道义系统	daoyixitong
得体性	detixing
德尔塔	deerta
等待时间	dengdaishijian
等级	dengji
等级对词	dengjiduici
等级反义词	dengjifanyici
等级反义词对	dengjifanyicidui
等级互补词	dengjihubuci
等级量表	dengjiliangbiao
等级数量含义	dengjishulianghanyi
等级相关	dengjixiangguan
等级形容词	dengjixingrongci
等级性	dengjixing
等级修饰语	dengjixiushiyu
等价作用原则	dengjiazuoyongyuanze
等距量表	dengjuliangbiao
等同动词	dengtongdongci
等同结构	dengtongjiegou
等同名词短语删除	dengtongmingciduanyushanchu
等音节词	dengyinjieci
等音节现象	dengyinjiexianxiang
等音长	dengyinzhang
等语线	dengyuxian
低等语体	didengyuti
低势语	dishiyu
低位性	diweixing
低语声	diyusheng
低元音	diyuanyin
笛卡儿问题	dikaerwenti
笛卡儿语言学	dikaeryuyanxue
底层	diceng
底层表征	dicengbiaozheng
底层短语标记	dicengduanyubiaoji
底层结构	dicengjiegou
地道材料	didaocailiao
地点副词	didianfuci
地点指示语	didianzhishiyu
地方词汇	difangcihui
地理方言	dilifangyan
地理分类	dilifenlei
地理语言学	diliyuyanxue
地名学	dimingxue
地区变体	diqubianti
地位	diwei
地位规划	diweiguihua
地域变体	diyubianti
地域层面	diyucengmian
地域的	diyude
地域方言	diyufangyan
地域分类法	diyufenleifa
地域口音	diyukouyin
地域语言学	diyuyuyanxue
地缘语言学	diyuanyuyanxue
帝王复数	diwangfushu
递归	digui
递归规则	diguiguize
递归性	diguixing
第二人称	dierrencheng
第二语言	dieryuyan

第二语言习得	dieryuyanxide
第二语言习得课堂研究	dieryuyanxideketangyanjiu
第三反应	disanfanying
第三人称	disanrencheng
第三人称代词多余使用	disanrenchengdaiciduoyushiyong
